id,first_name,last_name,email,gender,grade
1,Ilsa McKinnon,McKinnon,imckinnon0@cmu.edu,Female,5.15
2,Anabel Atterbury,Atterbury,aatterbury1@paypal.com,Female,4.97
3,Nappie Yude,Yude,nyude2@twitpic.com,Male,1.63
4,Derby O'Mahoney,O'Mahoney,domahoney3@qq.com,Male,9.83
5,Lura MacNaughton,MacNaughton,lmacnaughton4@storify.com,Female,4.21
6,Eolanda Thomasset,Thomasset,ethomasset5@barnesandnoble.com,Female,8.7
7,Bendix Pembry,Pembry,bpembry6@cornell.edu,Male,9.82
8,Marcellina Clemon,Clemon,mclemon7@about.me,Female,5.66
9,Quinn Falla,Falla,qfalla8@dell.com,Male,7.01
10,Aleta Fairlem,Fairlem,afairlem9@nps.gov,Female,2.89
11,Miner Artharg,Artharg,martharga@nih.gov,Male,1.26
12,Taryn Skilbeck,Skilbeck,tskilbeckb@devhub.com,Bigender,4.78
13,Herculie Eixenberger,Eixenberger,heixenbergerc@epa.gov,Male,5.89
14,Katharine Roggeman,Roggeman,kroggemand@springer.com,Female,1.67
15,Yanaton Iffe,Iffe,yiffee@vimeo.com,Male,1.35
16,Sauncho Real,Real,srealf@prnewswire.com,Male,9.59
17,Kaye Thick,Thick,kthickg@dropbox.com,Female,5.91
18,Cacilie Presslee,Presslee,cpressleeh@sogou.com,Female,8.05
19,Robinson Baptiste,Baptiste,rbaptistei@storify.com,Male,6.52
20,Freddy Osment,Osment,fosmentj@usnews.com,Male,6.2
21,Meredith Rudiger,Rudiger,mrudigerk@fastcompany.com,Agender,8.0
22,Bobbie Laingmaid,Laingmaid,blaingmaidl@ft.com,Male,9.46
23,Winfred Kolakovic,Kolakovic,wkolakovicm@istockphoto.com,Male,4.61
24,Shelba Braid,Braid,sbraidn@tripadvisor.com,Female,8.1
25,Morna Jansema,Jansema,mjansemao@marketwatch.com,Non-binary,9.91
26,Karel Speller,Speller,kspellerp@house.gov,Female,1.37
27,Conway Fallon,Fallon,cfallonq@so-net.ne.jp,Male,3.58
28,Ninette Riddett,Riddett,nriddettr@comcast.net,Female,4.2
29,Roi Hinsch,Hinsch,rhinschs@uol.com.br,Male,3.36
30,Frannie Matteuzzi,Matteuzzi,fmatteuzzit@quantcast.com,Female,3.75
31,Che Bratchell,Bratchell,cbratchellu@reverbnation.com,Male,9.59
32,Audra Brettell,Brettell,abrettellv@irs.gov,Female,2.97
33,Jordan Antognelli,Antognelli,jantognelliw@people.com.cn,Genderqueer,8.04
34,Jeanine McCosh,McCosh,jmccoshx@list-manage.com,Female,5.87
35,Karyn Klementz,Klementz,kklementzy@netlog.com,Female,1.24
36,Sheilah Foystone,Foystone,sfoystonez@sakura.ne.jp,Female,8.96
37,Way Playle,Playle,wplayle10@mapy.cz,Male,4.78
38,Kippar Kadwallider,Kadwallider,kkadwallider11@paypal.com,Male,6.44
39,Cindee Freire,Freire,cfreire12@xinhuanet.com,Female,1.65
40,Reeta Roscrigg,Roscrigg,rroscrigg13@irs.gov,Female,9.36
41,Berry Colegrove,Colegrove,bcolegrove14@chronoengine.com,Female,9.23
